date,positive,nagetive,neutral
2018-12-01,23.030169248580933,-11.390828251838684,-10.225463926792145
2018-12-03,-2.731276422739028,39.64367876946926,-25.364363461732864
2018-12-04,17.784759879112244,24.590352460741997,-31.3242709338665
2018-12-05,27.49620545655489,20.712166011333466,-34.53832125663757
2018-12-06,9.575583353638647,35.38142141327262,-31.23449817299843
2018-12-07,20.291410356760025,22.376909675076604,-30.367271065711975
2018-12-08,4.2609405517578125,1.7749196421355005,-4.957947075366974
2018-12-10,-9.872917085886002,51.637025974690914,-25.53087729215622
2018-12-11,-1.741372063755989,58.099362552165985,-36.316315561532974
2018-12-12,15.049074172973633,29.18867542827502,-29.87791931629181
2018-12-13,3.534625247120858,36.883431389927864,-25.736462444067
2018-12-14,21.553846329450607,47.72422977164388,-46.48177808523178
2018-12-15,5.603112913668156,4.659196555614471,-6.0073756873607635
2018-12-17,-2.7523404955863953,38.5398473739624,-24.1568843126297
2018-12-18,-7.937034606933594,81.80520397424698,-45.80078399181366
2018-12-19,13.68377533555031,46.60031897760928,-38.52774587273598
2018-12-20,-4.151508897542953,79.290851874277,-48.746509313583374
2018-12-21,11.855544000864029,51.162883304059505,-41.81032755970955
2018-12-22,7.649094074964523,7.95947527885437,-10.585161805152893
2018-12-24,-1.7826598584651938,56.7049316316843,-34.67066632211208
2018-12-25,-14.196884214878082,86.19583102315664,-43.89600297808647
2018-12-26,3.5940972715616226,46.539116874337196,-35.07814547419548
2018-12-27,31.57820425927639,24.50876596197486,-38.93453952670097
2018-12-28,42.40348298847675,35.283074244856834,-54.36724206805229
2018-12-29,17.75206509232521,1.290081538259983,-14.049140274524689
2018-12-31,51.34796606004238,-15.471643671393396,-29.570990353822708
2019-01-01,25.455083817243576,-12.065661326050758,-12.709829837083817
2019-01-02,21.75878213346005,42.170957351103425,-43.389893621206284
2019-01-03,-2.5984592884778976,77.47384614869952,-48.37113070487976
2019-01-04,32.17580061405897,38.81564024090767,-49.7858452796936
2019-01-05,39.172660648822784,-22.09604257903993,-15.535212278366089
2019-01-06,5.457587495446205,-2.036557137966156,-2.0465749502182007
2019-01-07,33.371356666088104,12.900042658671737,-36.64269933104515
2019-01-08,21.457869082689285,34.22255386412144,-38.29609730839729
2019-01-09,11.687366239726543,66.73012468079105,-51.90532088279724
2019-01-10,27.031771153211594,40.00726157054305,-46.9062864780426
2019-01-11,23.561800710856915,40.686031837016344,-43.84403637051582
2019-01-12,12.285275369882584,-2.6218954920768733,-7.6785067319869995
2019-01-14,-18.89741277694702,58.84422429651022,-25.38214999437332
2019-01-15,22.888130724430088,29.74301704764366,-38.53277489542961
2019-01-16,-3.1228059008717537,56.9803214520216,-34.970576256513596
2019-01-17,15.524812497198582,35.54855951294303,-36.05944871902466
2019-01-18,-17.18905507028103,85.0830149948597,-41.30758082866669
2019-01-19,18.56964448094368,-5.409257471561432,-11.131438940763474
2019-01-21,5.416729241609573,31.858930312097073,-26.6231007874012
2019-01-22,-3.5142947137355804,47.52824701182544,-29.543010383844376
2019-01-23,5.101811587810516,57.62718304991722,-40.38931825757027
2019-01-24,12.234256342053413,40.87924402207136,-37.99321514368057
2019-01-25,2.984377697110176,47.067998083774,-31.409444987773895
2019-01-26,-1.5709360986948004,12.932461887598038,-8.258250772953033
2019-01-28,12.18237192928791,7.3733453303575525,-15.94250014424324
2019-01-29,34.547372460365295,14.08128821849823,-36.43981975317001
2019-01-30,-0.3066259175539017,42.79117064923048,-28.27632388472557
2019-01-31,17.560648929327726,29.068708404898643,-32.75144538283348
2019-02-01,15.009676083922386,23.651600228622556,-26.36944931745529
2019-02-02,24.850165352225304,-12.418282806873322,-10.001982122659683
2019-02-03,2.571913719177246,-1.4955530166625977,-0.7674840688705444
2019-02-04,18.20537119358778,4.255752986762673,-15.907547622919083
2019-02-05,20.079732850193977,5.939476624131203,-17.709475696086884
2019-02-06,11.51017802208662,24.902689740061764,-25.227106481790543
2019-02-07,9.52957734465599,18.81728153117001,-21.384520918130875
2019-02-08,-6.932235851883889,36.92662811279297,-19.735116213560104
2019-02-09,14.836304798722267,-2.132396325469017,-9.252946555614471
2019-02-11,3.6717996150255177,34.04784418269992,-21.696366667747498
2019-02-12,30.921660274267197,20.31362646445632,-35.674629002809525
2019-02-13,18.98571978509426,29.755112536251545,-34.14841756224632
2019-02-14,5.338941052556038,42.80158422887325,-33.292693585157394
2019-02-15,3.080481879413128,50.24141591787338,-35.625469744205475
2019-02-16,12.572189807891846,-1.3071263786405325,-9.683797389268875
2019-02-18,23.861687377095222,11.640594370663168,-26.14881080389023
2019-02-19,7.441218197345733,50.23653760785237,-41.863298416137695
2019-02-20,8.254971727728844,37.95918780937791,-33.7297557592392
2019-02-21,5.512098684906959,41.76321046054363,-32.56991511583328
2019-02-22,-1.7695393115282059,66.40506911277771,-42.06209996342659
2019-02-23,8.999123066663742,-0.192904245108366,-6.963356852531433
2019-02-25,17.7711331397295,32.13008559308946,-32.91255336999893
2019-02-26,2.4446274861693382,48.67536559700966,-35.666482985019684
2019-02-27,-14.104545578360558,74.07831341400743,-38.23443204164505
2019-02-28,11.656902834773064,35.289295226335526,-32.907648622989655
2019-03-01,-3.91137982904911,56.536679442971945,-32.431322544813156
2019-03-02,9.485302969813347,2.9377824887633324,-9.353412866592407
2019-03-03,3.948968291282654,-2.8294973969459534,-1.119252234697342
2019-03-04,-4.700550779700279,55.64676223695278,-32.645825415849686
2019-03-05,-0.1151016056537626,49.18744129687548,-33.521487921476364
2019-03-06,13.232849568128586,31.890567975118756,-29.922828555107117
