date,positive,nagetive,neutral, ’≈Ã,ø™≈Ã,∏ﬂ,µÕ
2021-03-03,42.50871319323778,18.065464287996292,-45.827019929885864,7.8011,7.8249,7.8317,7.784
2021-03-04,10.155613243579866,59.69078070297837,-46.013700753450394,7.7413,7.8025,7.8053,7.7387
2021-03-05,42.41417370736599,34.20944635570049,-53.927250891923904,7.7413,7.7432,7.7558,7.7182
2021-03-08,59.37701761722565,-6.462318472564222,-39.99625000357628,7.7276,7.7454,7.7636,7.7291
2021-03-09,25.872331723570824,40.06573724001646,-45.8193302154541,7.7396,7.7315,7.7614,7.7239
2021-03-10,34.8467123657465,19.7820176333189,-41.184806406497955,7.7572,7.7429,7.7618,7.727
2021-03-11,63.96886286139488,11.233336761593819,-56.16826173663139,7.7815,7.7596,7.7864,7.7434
2021-03-12,45.41434873640537,13.459411909803748,-43.726213067770004,7.7785,7.7816,7.786,7.7481
2021-03-15,55.019256591796875,-8.795098960399628,-37.089106261730194,7.7527,7.7789,7.7896,7.7407
2021-03-16,29.918669149279594,36.35407699644566,-44.149409115314484,7.7412,7.7539,7.7683,7.7292
2021-03-17,45.16922338306904,21.443905415013433,-47.999492317438126,7.7893,7.746,7.7958,7.7278
2021-03-18,20.09773564338684,40.11404890008271,-42.60529288649559,7.7512,7.7913,7.7974,7.7463
2021-03-19,16.05673521757126,32.965477641671896,-34.09370794892311,7.7453,7.7523,7.7653,7.7299
2021-03-22,35.1542951464653,20.761955507099632,-38.58696109056473,7.7648,7.745,7.7751,7.7269
2021-03-23,29.325638860464096,33.32092683482915,-44.096900314092636,7.7202,7.7657,7.7712,7.7164
2021-03-24,22.693697184324265,32.931564047932625,-37.40919670462608,7.705,7.7226,7.7323,7.7039
2021-03-25,20.203567914664745,58.031317837536335,-51.46673318743706,7.6998,7.7075,7.7329,7.6995
2021-03-26,32.60816588997841,41.38805663585663,-49.86044090986252,7.7134,7.7007,7.7225,7.6995
2021-03-29,43.413794815540314,3.737569512799381,-35.58425530791283,7.725,7.7157,7.746,7.7023
2021-03-30,49.296757616102695,6.76861982047558,-42.749461352825165,7.698,7.7285,7.7433,7.6974
2021-03-31,54.230255112051964,-1.8029151372611518,-37.38220697641373,7.684,7.6997,7.7066,7.6764
2021-04-01,41.03017808496952,23.762441616505384,-46.9811472594738,7.7297,7.6866,7.7342,7.68
2021-04-02,68.31348319351673,-25.280144531279802,-34.884391874074936,7.7213,7.7319,7.7372,7.7121
2021-04-05,27.471204206347466,21.754808992147446,-37.72101306915283,7.7534,7.7235,7.7627,7.7081
2021-04-06,28.137568101286888,19.024261521175504,-33.327613830566406,7.7627,7.7583,7.768,7.7254
2021-04-07,62.78213384747505,-7.205384261906148,-44.23217797279358,7.7648,7.7656,7.7959,7.7583
2021-04-08,61.22720055282116,-7.772005409002302,-41.785939663648605,7.803,7.764,7.8141,7.7597
2021-04-09,43.74327343702316,7.873279321938753,-38.55578464269638,7.7978,7.8043,7.8095,7.7814
2021-04-12,67.49119266867638,-23.89404709637165,-35.843522399663925,7.7936,7.7922,7.8071,7.7779
2021-04-13,44.14224645495415,11.165136655792594,-40.19911816716194,7.817,7.7997,7.8245,7.7793
2021-04-14,46.37219759821892,-4.690553020685911,-31.165232002735138,7.8207,7.8189,7.8293,7.8025
2021-04-15,61.6133876144886,-8.831032134592533,-41.42718106508255,7.8036,7.8225,7.836,7.7979
2021-04-16,56.89768300950527,-20.4508296251297,-31.23227360844612,7.8133,7.8059,7.8231,7.7961
2021-04-19,54.082628190517426,-9.061251923441887,-36.930165499448776,7.8317,7.8147,7.8422,7.7923
2021-04-20,32.348403975367546,18.232735481113195,-35.414754539728165,7.8192,7.8357,7.8467,7.8137
2021-04-21,53.06632738560438,-11.409341514110565,-33.08392161130905,7.8104,7.8235,7.8284,7.7899
2021-04-22,49.7000395655632,-6.617895968258383,-33.959836602211,7.7989,7.8118,7.8332,7.7852
2021-04-23,34.55681635439396,-3.975171968340873,-22.475481003522873,7.8577,7.7994,7.8597,7.7975
2021-04-26,42.299494817852974,2.4628884345293045,-31.809184551239014,7.8325,7.8552,7.8663,7.8218
2021-04-27,44.720954440534115,-3.9931690674275147,-30.15366369485855,7.8373,7.8345,7.8427,7.8179
2021-04-28,53.98075496405363,-11.39388945326209,-32.10688427090645,7.8522,7.8394,7.8624,7.8162
2021-04-29,64.74435555934906,-25.18789161927998,-33.8406708240509,7.8416,7.8562,7.8702,7.8286
2021-04-30,66.48066329956055,-27.60530813038349,-32.57712638378143,7.7793,7.8417,7.8492,7.7786
2021-05-03,25.93667295575142,22.70661073923111,-30.141767919063568,7.8071,7.7883,7.8177,7.7763
2021-05-04,26.460546232759953,15.838456615805626,-30.954255044460297,7.776,7.8096,7.8109,7.7673
2021-05-05,23.099591955542564,33.17430102452636,-37.88665995001793,7.7708,7.7766,7.786,7.7588
2021-05-06,43.9961826056242,-5.089549481868746,-29.63757961988449,7.7931,7.7715,7.8092,7.767
2021-05-07,37.95116189867258,7.537421567365527,-35.451094299554825,7.822,7.7992,7.83,7.7783
2021-05-10,43.347545117139816,-6.973125074058773,-28.796403855085373,7.7815,7.8226,7.8332,7.7817
2021-05-11,24.916156947612762,27.37756236642599,-34.04970917105675,7.8081,7.7826,7.83,7.7804
2021-05-12,37.6032822355628,19.15084120258689,-38.25481650233269,7.7938,7.8102,7.8261,7.7768
2021-05-13,14.547419860959053,50.685330882668495,-44.46007177233696,7.791,7.7943,7.8109,7.7783
2021-05-14,27.91373434662819,17.791372690349817,-31.506688833236694,7.8142,7.794,7.8218,7.784
2021-05-17,24.0643914192915,20.226208969950676,-30.465117067098618,7.8238,7.8147,7.8398,7.8045
2021-05-18,40.39903646707535,0.6095758229494104,-30.30911159515381,7.8514,7.8255,7.8593,7.8151
2021-05-19,-5.713671252131461,49.36389367096126,-27.485476672649384,7.8317,7.8535,7.8759,7.8246
2021-05-20,2.620864242315292,53.62234431691468,-38.240781396627426,7.8661,7.832,7.8699,7.8305
2021-05-21,33.72274728119373,3.7956113517284407,-29.199460089206696,7.8358,7.8689,7.8764,7.8243
2021-05-24,47.02314834296703,-8.11499336361885,-31.065569281578064,7.8386,7.8355,7.8573,7.83
2021-05-25,54.94381804764271,-3.7105900603346527,-38.08837316930294,7.8523,7.8405,7.8597,7.8306
2021-05-26,41.39071527123451,3.7169973799027525,-35.751764357089996,7.79,7.8545,7.8589,7.786
2021-05-27,16.191481441259388,40.94025118649006,-36.16628962755203,7.7821,7.7927,7.7978,7.7668
2021-05-28,45.22693485021591,8.210993099957705,-40.617396265268326,7.7625,7.7837,7.7853,7.7342
2021-05-31,49.350412636995316,-18.3336461186409,-22.860594481229782,7.7859,7.7643,7.7939,7.7517
2021-06-01,68.67980095744133,-25.404241800308228,-35.98118358850479,7.7901,7.7885,7.8228,7.7815
2021-06-02,45.53517831861973,4.684832978993654,-35.389795154333115,7.79,7.7947,7.8071,7.7666
2021-06-03,55.104800686240196,-13.372913137078285,-33.79256924986839,7.7637,7.7913,7.8026,7.7598
2021-06-04,26.979484900832176,26.311286121606827,-35.79050362110138,7.7789,7.7671,7.7922,7.7523
2021-06-07,30.71455943584442,5.0998290553689,-26.474765986204147,7.7965,7.7817,7.8067,7.7693
2021-06-08,28.675276711583138,17.18347656726837,-33.289735198020935,7.7894,7.798,7.8036,7.777
2021-06-09,68.50167937576771,-9.946082919836044,-46.65295359492302,7.7775,7.7913,7.8043,7.7758
2021-06-10,41.91443344950676,-2.2419135458767396,-29.37783780694008,7.7795,7.7803,7.7934,7.7628
2021-06-11,59.55971994996071,-18.617016419768333,-32.81771218776703,7.7438,7.7806,7.791,7.7367
2021-06-14,21.311252504587173,19.775829270482063,-29.289761245250702,7.7509,7.7488,7.7622,7.7382
2021-06-15,9.894924908876419,39.65696087107062,-33.1255559027195,7.7657,7.7545,7.7783,7.7453
2021-06-16,29.442863881587982,15.479115927591922,-33.119821816682816,7.6724,7.7687,7.7712,7.6725
2021-06-17,46.628247022628784,-3.827944146469236,-30.983149349689484,7.6766,7.674,7.7126,7.6661
2021-06-18,4.282387956976891,37.14917942881584,-25.496587485074997,7.6527,7.6787,7.6883,7.6419
2021-06-21,23.64453110843897,16.137337647378445,-26.90874782204628,7.7035,7.6585,7.7147,7.6489
2021-06-22,47.70211225748062,-4.998592806980013,-32.363474160432816,7.7371,7.7066,7.7474,7.6873
2021-06-23,28.540402963757515,21.026189744472504,-33.86289283633232,7.7187,7.7379,7.7484,7.7162
2021-06-24,37.515661507844925,14.664775552228093,-35.778420209884644,7.7188,7.7214,7.7332,7.7136
2021-06-25,51.20769043266773,-10.018799304962158,-31.820256680250168,7.7022,7.722,7.7298,7.6994
2021-06-28,40.779343493282795,5.7349825240671635,-32.25020110607147,7.6975,7.7056,7.713,7.6862
2021-06-29,18.04063805937767,23.778467308729887,-28.272933453321457,7.6883,7.6996,7.7038,7.6778
2021-06-30,46.39012132585049,10.913535818457603,-41.64089119434357,7.6543,7.6899,7.6967,7.6483
2021-07-01,35.17762126028538,11.935837775468826,-36.037384897470474,7.6632,7.6576,7.6866,7.649
2021-07-02,43.758936777710915,-3.452036291360855,-31.477735072374344,7.6785,7.6659,7.6867,7.647
2021-07-05,36.30969448387623,11.581404093652964,-33.32365462183952,7.6658,7.6783,7.6842,7.6554
2021-07-06,29.76266121864319,9.280271016061306,-26.791182160377502,7.655,7.6686,7.6846,7.6421
2021-07-07,41.33616201579571,3.4712621718645087,-32.28975561261177,7.6296,7.661,7.6622,7.6249
2021-07-08,20.53816619515419,23.991169925779104,-31.810483291745186,7.6852,7.6329,7.7024,7.6292
2021-07-09,46.27067832648754,-8.992754612118008,-27.93690437078476,7.6923,7.6871,7.6983,7.6702
2021-07-12,32.94451059401035,-4.375709881540388,-23.139905750751495,7.6788,7.6918,7.6974,7.6639
2021-07-13,39.12862065434456,-4.183051846921444,-25.351218223571777,7.616,7.6813,7.6862,7.6147
2021-07-14,37.150187358260155,9.41277565434575,-35.65955573320389,7.6558,7.6176,7.6589,7.6147
2021-07-15,37.87111383676529,-0.6634064018726344,-27.749980479478836,7.6269,7.6572,7.6603,7.621
2021-07-16,23.039626613259315,13.494095934554935,-26.28553143143654,7.6479,7.6329,7.6581,7.6269
2021-07-19,11.495422452688217,30.80966215580702,-28.744456827640533,7.6561,7.6505,7.6726,7.6302
2021-07-20,18.913653999567032,25.60393800213933,-32.52733826637268,7.6381,7.6595,7.6611,7.6203
2021-07-21,36.87792184948921,-1.1111153215169898,-28.228051036596298,7.6252,7.6406,7.642,7.6087
2021-07-22,33.99278263002634,5.635893701110036,-28.531378656625748,7.6151,7.6277,7.6512,7.6076
2021-07-23,64.03786650300026,-26.427904546260834,-29.934279948472977,7.6279,7.6153,7.6346,7.6122
2021-07-26,51.86812648177147,-13.015773041173816,-29.396262526512146,7.6487,7.6337,7.6608,7.624
2021-07-27,11.730608880519869,33.9602036178112,-31.577765941619873,7.6914,7.6522,7.7101,7.6379
2021-07-28,35.49563939869404,13.905541345477104,-35.61829513311386,7.6861,7.6942,7.6991,7.6417
2021-07-29,17.993960738182068,19.71527530858293,-24.757368683815002,7.6738,7.6884,7.6904,7.6651
2021-07-30,58.26173621416092,-14.784209787845612,-35.034792602062225,7.6691,7.6754,7.6941,7.6582
2021-08-02,9.608888119459152,36.56903629982844,-28.802526712417603,7.6685,7.6659,7.688,7.6638
2021-08-03,34.59063306450844,10.411748267710209,-31.2005355656147,7.6734,7.6692,7.6882,7.6684
2021-08-04,31.130047395825386,7.085100162774324,-25.65965187549591,7.6519,7.6765,7.6845,7.6498
2021-08-05,28.128118708729744,8.990253647789357,-25.700033962726593,7.6444,7.6541,7.6616,7.6418
2021-08-06,51.97222979366779,-16.339253708720207,-27.482031762599945,7.6234,7.6464,7.649,7.62
2021-08-09,6.869281187653542,28.704774901270866,-22.338174253702164,7.6123,7.6259,7.6274,7.6104
2021-08-10,12.391255334019661,26.86296055652201,-27.03121316432953,7.5994,7.6136,7.6153,7.592
2021-08-11,64.71189254522324,-21.63278605788946,-32.394930958747864,7.6036,7.6016,7.6153,7.5896
2021-08-12,72.70669960230589,-23.219639167189598,-38.19572934508324,7.5983,7.6052,7.6105,7.5953
2021-08-13,39.598298758268356,5.039237290620802,-32.64823141694069,7.6368,7.5986,7.6469,7.5983
2021-08-16,8.520807042717934,33.554149869829416,-27.719489097595215,7.6247,7.6394,7.6456,7.6188
2021-08-17,38.2743024751544,13.602932415902615,-36.219568490982056,7.5938,7.6246,7.6381,7.5935
2021-08-18,35.10452361404896,7.109136851504443,-31.42992353439331,7.5929,7.5952,7.615,7.5811
